_id,scientific_name,common_name,date,year,range,description,type,latitude,longitude,latlong,continent,country,size,commonSMame,common_SMme,image
57bbaf7e7f658b5320d3f8a0,Megalomys desmarestii,Antillean giant rice rat,1900-01-01T00:00:00Z,1900,France (Martinique),--,land,14.71,-61.06,"14.71,-61.06",North America,MQ,SM,,,
57bbaf7e7f658b5320d3f8a1,Canis lupus bernard,Banks Island wolf,1920-01-01T00:00:00Z,1920,Canada,--,land,73.06,-120.73,"73.06,-120.73",North America,CA,ZZ,,,
57bbaf7e7f658b5320d3f8a2,Procyon lotor gloverallen,Barbados raccoon,1960-01-01T00:00:00Z,1960,Barbados,--,land,13.16,-59.55,"13.16,-59.55",North America,BB,ZZ,,,
57bbaf7e7f658b5320d3f8a3,Neotoma bunkeri,Bunker's woodrat,1930-01-01T00:00:00Z,1930,Mexico (Coronados Islands),--,land,26.11,-111.55,"26.11,-111.55",North America,MX,ZZ,,,
57bbaf7e7f658b5320d3f8a4,Ursus arctos californicu,California golden bear,1920-01-01T00:00:00Z,1920,California,"The grizzly became a symbol of the Bear Flag Republic, Less than 75 years after the discovery of gold in 1848, almost every grizzly bear in California had been tracked down and killed. The last hunted California grizzly was shot in Tulare County, California, in August 1922. Later, in 1924, a grizzly known to roam an area of the Sierra Madre Mountains (Santa Barbara County) was spotted for the last time, and thereafter, grizzlies were never seen again in California.",land,39.79,-120.25,"39.79,-120.25",North America,US,MD,,,
57bbaf7e7f658b5320d3f8a5,Monachus tropicalis,Caribbean monk seal,1950-01-01T00:00:00Z,1950,Caribbean Sea,--,land,24.58,-101.25,"24.58,-101.25",North America,MX,ZZ,,,
57bbaf7e7f658b5320d3f8a6,Canis lupus fuscu,Cascade mountain wolf,1940-01-01T00:00:00Z,1940,Canada and USA,--,land,44.21,-104.95,"44.21,-104.95",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8a7,Geocapromys columbianus,Cuban coney,1500-01-01T00:00:00Z,1500,Cuba,--,land,23.52,-74.78,"23.52,-74.78",North America,CU,ZZ,,,
57bbaf7e7f658b5320d3f8a8,Puma concolor cougua,Eastern cougar,2011-01-01T00:00:00Z,2011,Eastern Canada and USA,--,land,45.46,-70.58,"45.46,-70.58",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8a9,Cervus canadensis canadiensi,Eastern elk,1880-01-01T00:00:00Z,1880,Eastern Canada and USA,--,land,46.46,-68.58,"46.46,-68.58",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8aa,Geomys pinetis goff,Goff's pocket gopher,1950-01-01T00:00:00Z,1950,Florida,--,land,28.7,-81.65,"28.7,-81.65",North America,US,ZZ,,,
